"","Year","x"
"1",1991,1710.33
"2",1992,1792.19
"3",1993,1896.63
"4",1994,1937.82
"5",1995,1958.47
"6",1996,1996.3
"7",1997,1972.6
"8",1998,1983.65
"9",1999,2013.49
"10",2000,1983.16
"11",2001,1979.22
"12",2002,2019.42
"13",2003,2009.42
"14",2004,1960.3
"15",2005,1908.64
"16",2006,1811.97
"17",2007,1722.63
"18",2008,1692.98
"19",2009,1866.94
"20",2010,1904.71
"21",2011,1889.83
"22",2012,1894.7
"23",2013,1900.32
"24",2014,1862.22
"25",2015,1837.33
"26",2016,1814.43
"27",2017,1759.07
"28",2018,1703.14
"29",2019,1665.53
"30",2020,1945.52
"31",2021,1931.62
